Notes,Score,Evidence
,,
Video,3,Video
"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",2,"Commits are spread, evidence in GH"
Number of commits,3,100 Commits
Number of commits: by different people,2,Spread between 5 students
Issues reports: there are **many**,3,https://github.com/apurva-s/polly/issues
Issues are being closed,3,All closed (total 12)
DOI badge: exists (backup of repository exists),3,
"Docs: doco generated, format not ugly",3,Docs folder
Docs: what: point descriptions of each class/function (in isolation),2,in GH docs folder
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,Docs folder
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,Documentation and future scope
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code",3,3 seperate videos in README
Use of version control tools,3,in GH
Use of style checkers,3,config files in GH showing your config
Use of code formatters.,3,config files in GH showing this formatter's config
Use of syntax checkers.,3,checker's config files
Use of code coverage,3,91 % code coverage
Other automated analysis tools,3,config files in GH
Test cases exist,2,Tests link in GH
Test cases are routinely executed,1,GH workflows
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,Contributing.md
Issues are discussed before they are closed,3,Issues in GH
Chat channel: exists,0,Not available
Test cases: a large proportion of the issues related to handling failing cases.,3,Different test cases exist
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,All members used same tools 
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,https://github.com/apurva-s/polly/blob/main/backend/.eslintrc.json
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,https://github.com/apurva-s/polly/blob/main/backend/.eslintrc.json
Evidence that the members of the team are working across multiple places in the code base,3,Commits in GH
Short release cycles,3,Project members commits frequently
"Does your website and documentation provide a clear, high-level overview of your software?",3,Readme.md (docs very clear)
Does your website and documentation clearly describe the type of user who should use your software?,3,Readme.md (intro clearly mentions about it)
Do you publish case studies to show how your software has been used by yourself and others?,0,Not available
Is the name of your project/software unique?,1,"Names are likely to be same, checked on TESS"
Is your project/software name free from trademark violations?,1,Very unlikely to be 
Is your software available as a package that can be deployed without building it?,3,in GH
Is your software available for free?,3,Open source
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,Open source
